interval_m,seed,set_id,kappa,kr_hat,P32_hat
3,11,3,12.12,2.5,1.0951688271218771
3,11,5,25.56,3.833,0.8239848163191109
2,11,1,14.76,2.7,0.8258240072922292
2,11,2,18.56,2.767,0.9500194165528266
2,11,3,11.63,2.433,0.7759585641131195
2,11,5,26.36,4.033,0.9063857514637301
6,10,1,15.03,2.767,0.7366134529651092
6,10,2,15.49,2.567,0.9734675903735113
6,10,3,12.1,2.967,0.9048210535405388
6,10,5,20.29,3.233,0.7029320619278439
6,11,1,16.2,2.7,1.0140228838608876
6,11,2,17.34,2.9,0.8591338542713441
6,11,3,11.22,2.433,1.0958263760180043
6,11,5,24.0,3.367,0.9903183420130205
0.5,12,1,15.49,2.7,0.9661595716500196
0.5,12,2,16.16,3.033,1.0430239507412293
0.5,12,3,13.61,2.833,0.9104745477638605
0.5,12,5,25.03,3.367,1.1915791725264444
1,12,1,14.9,2.767,0.8105718436544135
1,12,2,13.94,2.633,1.321020963077341
1,12,3,13.16,2.833,0.9576606248634953
1,12,5,23.01,3.3,1.069728877652809
3,12,1,15.34,2.9,0.8254683373590032
3,12,2,12.59,2.633,1.1778633630625275
3,12,3,11.62,2.7,0.8507970145006043
3,12,5,26.31,3.233,1.0008745912588906
2,12,1,14.95,2.9,0.8408594052540538
2,12,2,13.32,2.5,1.2986659275356869
2,12,3,10.82,2.9,0.8626977304465957
2,12,5,23.43,3.233,1.0905133152612374
6,12,1,15.64,2.967,0.8086418533196162
6,12,2,15.22,2.5,1.1087474583210188
6,12,3,10.45,2.767,1.0100757979616077
6,12,5,23.41,3.233,0.9435471295451275
0.5,13,1,15.06,2.9,0.927961375966327
0.5,13,2,29.16,2.7,0.809216234327737
0.5,13,3,11.55,2.833,1.0094455665249882
0.5,13,5,23.08,3.7,0.8524949225489334
1,13,1,14.41,2.767,0.8044998218191185
1,13,2,20.42,2.767,0.9634526963854758
1,13,3,11.5,2.833,0.9387973935132427
1,13,5,22.88,3.967,0.819263363120315
6,13,1,15.78,2.567,1.1145936741755353
6,13,2,21.99,2.767,0.9939975843602404
6,13,3,9.54,2.767,0.8864514141606434
6,13,5,21.89,3.433,0.7128853162370252
2,13,1,16.02,2.633,0.8716500603772654
2,13,2,19.78,2.767,0.7324536745777535
2,13,3,10.25,2.833,0.9298264685470962
2,13,5,24.2,3.833,0.7153014539194801
0.5,14,1,13.47,2.633,0.9731542540444378
0.5,14,2,13.81,2.433,0.7193178076568427
0.5,14,3,10.66,3.033,0.6499837885678751
0.5,14,5,24.88,3.9,1.07087636364658
3,13,1,15.56,2.567,0.9675570829322248
3,13,2,17.75,3.233,0.762803649694101
3,13,3,10.22,2.567,0.7980447855933537
3,13,5,23.29,3.567,0.7506229728320583
1,14,1,14.82,2.833,0.8216845265307327
1,14,2,13.99,2.967,0.621157265738122
