seed,mode,set_id,kr_hat,best_lmin,adoption
115,hybrid_sel,1,2.4,0.1,ok
115,hybrid_sel,2,2.95,0.3,ok
115,hybrid_sel,3,2.8,0.2,ok
115,hybrid_sel,5,3.45,0.5,ok
116,hybrid_sel,1,2.6,0.2,ok
116,hybrid_sel,2,2.6500000000000004,0.1,ok
116,hybrid_sel,3,2.5,0.5,ok
116,hybrid_sel,5,3.6,0.5,ok
117,hybrid_sel,1,3.0,0.1,ok
117,hybrid_sel,2,2.75,0.5,ok
117,hybrid_sel,3,2.8,0.3,ok
117,hybrid_sel,5,3.75,0.75,ok
118,hybrid_sel,1,2.5,0.2,ok
118,hybrid_sel,2,3.1,0.5,ok
118,hybrid_sel,3,3.1500000000000004,0.5,ok
118,hybrid_sel,5,3.5,0.5,ok
119,hybrid_sel,1,2.85,0.3,ok
119,hybrid_sel,2,2.8,0.2,ok
119,hybrid_sel,3,2.9000000000000004,0.5,ok
119,hybrid_sel,5,3.6,0.5,ok
120,hybrid_sel,1,2.85,0.5,ok
120,hybrid_sel,2,3.35,0.3,ok
120,hybrid_sel,3,2.75,0.75,ok
120,hybrid_sel,5,3.6,0.75,ok
101,hybrid_sel_b256,1,2.5,0.75,class_fraction_mismatch
101,hybrid_sel_b256,2,3.2,0.75,ok
101,hybrid_sel_b256,3,2.5,0.2,ok
101,hybrid_sel_b256,5,3.45,0.3,ok
102,hybrid_sel_b256,1,2.6,0.2,ok
102,hybrid_sel_b256,2,2.8,0.3,ok
102,hybrid_sel_b256,3,2.8,0.5,ok
102,hybrid_sel_b256,5,3.45,0.2,ok
103,hybrid_sel_b256,1,2.75,0.75,ok
103,hybrid_sel_b256,2,3.6,0.75,ok
103,hybrid_sel_b256,3,2.9000000000000004,0.2,ok
103,hybrid_sel_b256,5,3.45,0.75,ok
104,hybrid_sel_b256,1,3.2,0.3,ok
104,hybrid_sel_b256,2,4.0,0.5,weak_identifiability
104,hybrid_sel_b256,3,3.25,0.5,ok
104,hybrid_sel_b256,5,3.8000000000000003,0.75,ok
105,hybrid_sel_b256,1,2.6,0.75,ok
105,hybrid_sel_b256,2,2.6500000000000004,0.1,ok
105,hybrid_sel_b256,3,3.0,0.3,ok
105,hybrid_sel_b256,5,3.6,0.1,ok
106,hybrid_sel_b256,1,2.85,0.1,ok
106,hybrid_sel_b256,2,2.95,0.1,ok
106,hybrid_sel_b256,3,2.85,0.2,ok
106,hybrid_sel_b256,5,3.25,0.5,ok
107,hybrid_sel_b256,1,2.85,0.75,ok
107,hybrid_sel_b256,2,3.65,0.5,weak_identifiability
107,hybrid_sel_b256,3,2.8,0.2,ok
107,hybrid_sel_b256,5,4.2,0.1,ok
108,hybrid_sel_b256,1,2.75,0.2,ok
108,hybrid_sel_b256,2,2.6,0.3,ok
108,hybrid_sel_b256,3,3.05,0.1,ok
108,hybrid_sel_b256,5,3.7,0.3,ok
109,hybrid_sel_b256,1,3.1,0.5,ok
109,hybrid_sel_b256,2,3.35,0.1,ok
109,hybrid_sel_b256,3,3.05,0.1,ok
109,hybrid_sel_b256,5,3.1500000000000004,0.5,ok
110,hybrid_sel_b256,1,3.3,0.2,ok
110,hybrid_sel_b256,2,2.6,0.2,ok
110,hybrid_sel_b256,3,2.75,0.75,ok
110,hybrid_sel_b256,5,4.1,0.1,ok
111,hybrid_sel_b256,1,3.1,0.75,ok
111,hybrid_sel_b256,2,2.9000000000000004,0.1,class_fraction_mismatch
111,hybrid_sel_b256,3,3.1,0.3,ok
111,hybrid_sel_b256,5,4.050000000000001,0.75,ok
112,hybrid_sel_b256,1,2.9000000000000004,0.2,ok
112,hybrid_sel_b256,2,3.5,0.1,ok
112,hybrid_sel_b256,3,3.1500000000000004,0.1,ok
112,hybrid_sel_b256,5,3.45,0.5,ok
113,hybrid_sel_b256,1,2.85,0.75,ok
113,hybrid_sel_b256,2,2.6,0.2,ok
113,hybrid_sel_b256,3,2.9000000000000004,0.2,ok
113,hybrid_sel_b256,5,3.6,0.5,ok
114,hybrid_sel_b256,1,2.85,0.1,ok
114,hybrid_sel_b256,2,2.8,0.2,ok
114,hybrid_sel_b256,3,2.95,0.1,ok
114,hybrid_sel_b256,5,3.85,0.75,ok
115,hybrid_sel_b256,1,2.45,0.5,ok
115,hybrid_sel_b256,2,2.95,0.3,ok
115,hybrid_sel_b256,3,2.8,0.1,ok
115,hybrid_sel_b256,5,3.45,0.5,ok
116,hybrid_sel_b256,1,2.6,0.2,ok
116,hybrid_sel_b256,2,2.6500000000000004,0.1,ok
116,hybrid_sel_b256,3,2.5,0.5,ok
116,hybrid_sel_b256,5,3.5500000000000003,0.3,ok
117,hybrid_sel_b256,1,3.0,0.1,ok
117,hybrid_sel_b256,2,2.75,0.5,ok
117,hybrid_sel_b256,3,2.8,0.3,ok
117,hybrid_sel_b256,5,3.75,0.75,ok
118,hybrid_sel_b256,1,2.5,0.2,ok
118,hybrid_sel_b256,2,3.05,0.5,ok
118,hybrid_sel_b256,3,3.1500000000000004,0.5,ok
118,hybrid_sel_b256,5,3.5,0.5,ok
119,hybrid_sel_b256,1,2.85,0.3,ok
119,hybrid_sel_b256,2,2.8,0.2,ok
119,hybrid_sel_b256,3,2.95,0.2,ok
119,hybrid_sel_b256,5,3.6,0.5,ok
120,hybrid_sel_b256,1,2.85,0.5,ok
120,hybrid_sel_b256,2,3.05,0.1,ok
120,hybrid_sel_b256,3,2.75,0.75,ok
120,hybrid_sel_b256,5,3.6,0.5,ok
