angle_deg,seed,set_id,kappa,kr_hat,P32_hat
96,4,2,20.26,3.233,0.8448069922632666
96,4,3,8.97,2.833,0.9052280114580848
96,4,5,22.73,3.433,0.9418152185171447
72,4,1,15.01,2.833,0.7008889915494112
72,4,2,20.85,3.3,0.9135427648591977
72,4,3,7.6,3.1,0.7140341636297525
72,4,5,23.72,3.7,0.8537193733218681
84,4,1,13.81,2.833,0.7240657104601914
84,4,2,21.42,3.433,0.8913192067856404
84,4,3,9.15,2.9,0.7764153957560531
84,4,5,22.83,3.567,0.9435230544574874
120,4,1,9.34,3.033,0.6161820265132782
120,4,2,21.73,3.033,0.8588925733978879
120,4,3,9.89,2.767,0.912452927436035
120,4,5,24.15,3.233,1.0602804310711986
144,4,1,13.32,2.833,0.6773397186328441
144,4,2,19.4,3.233,0.6996155780032304
144,4,3,10.82,2.767,0.9565918886505188
144,4,5,26.43,3.1,1.0556840343499838
108,4,1,7.68,3.367,0.4158096619350154
108,4,2,22.08,3.1,0.8237824649581477
108,4,3,9.29,2.833,0.8729818148155274
108,4,5,22.97,3.3,1.0070952715522186
156,4,1,13.44,2.767,0.8581774760199977
156,4,2,18.15,3.233,0.6186299335694797
156,4,3,11.59,2.9,0.8967425947843524
156,4,5,25.34,3.167,1.017735269720117
168,4,1,14.7,2.767,0.8535566409103953
168,4,2,16.22,3.3,0.5479820435214426
168,4,3,12.2,2.9,0.9054347671277879
168,4,5,24.7,2.967,1.0451361372621577
132,4,1,12.32,2.9,0.6531970020825938
132,4,2,22.13,3.233,0.8390442672027376
132,4,3,10.4,2.833,0.9245367662978718
132,4,5,25.24,3.1,1.0473475259178486
180,4,1,14.2,2.7,0.8575586912993765
180,4,2,21.47,3.3,0.6005323373895308
180,4,3,12.34,2.9,0.8529117366190064
180,4,5,23.79,2.967,1.0833260489052907
0,5,1,14.09,3.233,0.6392539773061268
0,5,2,18.11,2.833,1.0838770866624754
0,5,3,11.7,2.967,0.9188694091034977
0,5,5,26.49,3.7,0.7844077669985556
72,5,1,11.36,3.1,0.7897354383086302
72,5,2,21.59,2.9,1.0098218078323935
72,5,3,9.73,3.033,0.7720983009669887
72,5,5,25.38,3.367,1.067209180640706
12,5,1,14.3,3.1,0.7273081713779364
12,5,2,20.79,2.767,1.0882053546847672
12,5,3,11.82,2.833,0.9642747894935045
12,5,5,26.58,3.7,0.8494063923747477
48,5,1,12.45,2.967,0.6545661884106702
48,5,2,20.41,2.967,1.016064532095856
48,5,3,9.51,3.5,0.8136023641422429
48,5,5,22.23,3.7,1.0093678303883968
24,5,1,13.1,2.967,0.6645670448198762
24,5,2,20.38,2.9,1.1183278380184563
24,5,3,12.51,2.967,0.9483507740547839
24,5,5,24.14,3.767,0.9197453712106459
36,5,1,12.63,2.9,0.7031849925892943
36,5,2,20.16,3.1,1.0653790792730458
36,5,3,10.82,3.167,0.9598587992021228
36,5,5,24.95,3.7,0.9414929050993458
84,5,1,10.62,3.167,0.7053600304369289
84,5,2,21.69,2.833,1.0849598973184365
84,5,3,11.66,3.3,0.7189439297659977
84,5,5,25.32,3.367,1.0722787844496695
96,5,1,8.76,3.367,0.7482199144483016
96,5,2,22.1,2.967,1.1164552264424312
96,5,3,11.81,3.367,0.7202518040986025
