seed,mode,set_id,lmin_fit,kr_hat,fit_status,adoption_status,class_l1,q90_ratio
105,hybrid,5,0.5,3.65,ok,accepted,0.10033685138998723,0.8372502948981089
105,hybrid,5,0.75,3.5500000000000003,ok,accepted,0.10277966801622243,0.8232503799139127
106,window_mc,1,0.1,3.2,ok,provisional_accepted,0.11711691468968596,0.8488526237423212
106,window_mc,1,0.2,2.95,ok,accepted,0.10853783304753814,0.9095192922180642
106,window_mc,1,0.3,3.1500000000000004,ok,provisional_accepted,0.08690596973513193,0.8700679551210244
106,window_mc,1,0.5,3.1500000000000004,ok,provisional_accepted,0.07085965838544744,0.8843723433893381
106,window_mc,1,0.75,2.9000000000000004,ok,accepted,0.158186633625029,0.9492843128615907
106,window_mc,2,0.1,2.9000000000000004,ok,accepted,0.14118735655471254,0.9339593426732511
106,window_mc,2,0.2,2.8,ok,accepted,0.09005569940637258,0.9015422361823603
106,window_mc,2,0.3,2.6500000000000004,ok,provisional_accepted,0.041653458441640784,0.9069221843832873
106,window_mc,2,0.5,2.75,ok,accepted,0.0624507124121878,0.8213413520318409
106,window_mc,2,0.75,2.85,ok,accepted,0.041802469240452125,0.75819021195157
106,window_mc,3,0.1,2.85,ok,accepted,0.22776472340856752,0.922140259771815
106,window_mc,3,0.2,2.7,ok,provisional_accepted,0.19464478003318023,0.9512576252029227
106,window_mc,3,0.3,2.85,ok,accepted,0.203712764323749,0.8965874281368214
106,window_mc,3,0.5,3.0,ok,accepted,0.2378400937473233,0.8380067508114957
106,window_mc,3,0.75,2.7,ok,provisional_accepted,0.18724933739968885,0.9327061357449378
106,window_mc,5,0.1,3.1500000000000004,ok,provisional_accepted,0.05113659820526642,0.9077139483855463
106,window_mc,5,0.2,3.1500000000000004,ok,provisional_accepted,0.05541009559763737,0.8770168391742198
106,window_mc,5,0.3,3.3,ok,provisional_accepted,0.0530956315726256,0.8213296955658836
106,window_mc,5,0.5,3.25,ok,provisional_accepted,0.02446767893394381,0.8062466114200495
106,window_mc,5,0.75,3.1500000000000004,ok,provisional_accepted,0.03338373728879368,0.7879362739814015
106,hybrid,1,0.1,2.85,ok,accepted,0.16077918806688035,0.9327980397420411
106,hybrid,1,0.2,2.9000000000000004,ok,accepted,0.11555153859034271,0.9410122990679779
106,hybrid,1,0.3,2.9000000000000004,ok,accepted,0.11165118730228797,0.9375160236020114
106,hybrid,1,0.5,2.95,ok,accepted,0.08501485301605252,0.9424294142151801
