interval_m,seed,set_id,kappa,kr_hat,P32_hat
0.5,8,3,13.14,2.767,1.1519528654522724
0.5,8,5,28.24,3.5,1.0395413688813857
1,8,1,15.36,2.9,0.6692819258519622
1,8,2,16.15,3.367,0.5906920919666018
1,8,3,12.45,2.767,1.0494858167634085
1,8,5,24.18,3.567,0.902884549378225
3,8,1,15.2,2.567,0.8074425278236379
3,8,2,14.76,2.9,0.5941643708521084
3,8,3,11.7,2.7,1.0123295912288435
3,8,5,26.7,3.7,0.7248674657207672
2,8,1,13.99,2.7,0.8390015188999141
2,8,2,16.83,3.033,0.587882881096044
2,8,3,11.85,2.767,0.9432178504310675
2,8,5,26.73,3.833,0.8562317530224821
6,8,1,15.29,2.633,0.9492856538290538
6,8,2,16.18,2.9,0.7434687972263618
6,8,3,11.65,2.567,1.0333046147327631
6,8,5,26.27,3.433,0.9835982304756515
0.5,9,1,14.99,3.033,0.8272240433408596
0.5,9,2,14.48,2.7,1.1190243786314764
0.5,9,3,12.49,3.233,0.8229574172216649
0.5,9,5,25.48,3.233,1.2027780919583841
1,9,1,13.92,2.9,0.8002424977800215
1,9,2,14.81,2.633,0.9275469569309098
1,9,3,13.26,3.1,0.774751305191011
1,9,5,24.73,3.367,1.027798741195897
2,9,1,14.49,2.833,0.8081748071309526
2,9,2,16.57,2.9,0.6647946492924284
2,9,3,12.5,2.767,0.8949206246501893
2,9,5,23.56,3.233,0.8982846308448942
3,9,1,15.35,2.833,0.815474485004362
3,9,2,16.86,2.967,0.8180509994654532
3,9,3,12.34,2.633,0.9535421217122851
3,9,5,25.48,3.233,0.9911094268907009
0.5,10,1,13.56,3.367,0.601625212714031
0.5,10,2,20.27,2.633,1.2627865471027826
0.5,10,3,13.22,3.1,0.7300234851519675
0.5,10,5,25.46,3.233,0.8854395114668664
6,9,1,15.11,2.833,0.7703397362857599
6,9,2,14.95,2.767,1.0443246584215513
6,9,3,12.33,2.7,0.960109455479898
6,9,5,23.65,3.167,0.8354474516981795
1,10,1,12.91,3.433,0.6394349188272248
1,10,2,15.01,2.633,1.0282420357094082
1,10,3,13.23,2.967,0.7409105968504817
1,10,5,23.78,3.633,0.8566018518620966
2,10,1,15.35,2.967,0.693612409907766
2,10,2,14.22,2.633,0.619330934239291
2,10,3,10.83,2.7,0.9750715653583726
2,10,5,23.98,3.7,0.7181076548865319
3,10,1,14.18,2.9,0.7355236782884568
3,10,2,15.78,2.567,0.8970444190679591
3,10,3,9.59,2.9,0.9331206834668124
3,10,5,22.89,3.5,0.7948100838110777
1,11,1,13.1,2.833,0.645737340271232
1,11,2,16.77,3.033,0.7527980876110834
1,11,3,10.96,2.567,0.8938928362844651
1,11,5,24.45,3.967,0.9604547421566931
6,10,1,15.03,2.767,0.7615038702174165
6,10,2,15.49,2.567,0.9121166409649268
