angle_deg,seed,set_id,kappa,kr_hat,P32_hat
132,2,5,22.31,3.633,1.0385766670959489
60,2,1,13.25,2.967,0.7962839785903609
60,2,2,21.42,2.633,1.214486650469408
60,2,3,9.11,3.367,0.7283764437088291
60,2,5,22.3,3.367,1.0401226430188142
120,2,1,9.49,3.167,0.5619324150836115
120,2,2,18.71,2.767,1.2410891391501355
120,2,3,10.38,3.433,0.8263269932465661
120,2,5,23.12,3.433,1.0321491141426997
168,2,1,12.59,2.833,0.782695338278066
168,2,2,12.64,2.9,1.0407348939793453
168,2,3,10.87,3.233,0.9038833263068744
168,2,5,23.44,3.633,0.8788050484008577
180,2,1,14.02,2.767,0.7843017876529481
180,2,2,14.73,2.767,1.2542781858380314
180,2,3,11.08,3.033,0.865638441357582
180,2,5,23.25,3.833,0.8030581979569494
60,3,1,16.17,3.033,0.7358252747064095
60,3,2,22.43,3.967,0.8309491803464427
60,3,3,9.81,2.433,1.0048617690346022
60,3,5,28.11,3.033,1.0517983941897309
0,3,1,17.0,2.567,0.8044925600556323
0,3,2,16.0,3.567,0.5788035408103559
0,3,3,11.25,2.9,0.750686882598992
0,3,5,29.62,2.967,1.0231767001428929
84,3,1,15.0,3.1,0.6465915810816248
84,3,2,23.17,4.033,0.8227673182890591
84,3,3,11.62,2.567,0.9520673646533215
84,3,5,27.84,3.033,1.0905229450876932
36,3,1,16.82,2.633,0.7972853691328298
36,3,2,21.46,3.633,0.7560639789951586
36,3,3,11.26,2.7,0.864762252159072
36,3,5,24.64,3.033,1.0287407286084838
24,3,1,18.04,2.567,0.7894242348238901
24,3,2,22.55,3.7,0.7910855115385916
24,3,3,10.16,2.9,0.9027863538082662
24,3,5,25.78,3.167,1.0058277210956834
12,3,1,17.37,2.633,0.7922791103682646
12,3,2,22.06,3.367,0.6561759346471132
12,3,3,10.7,2.9,0.7866367998600688
12,3,5,28.61,2.9,1.0353822899190508
72,3,1,14.48,2.967,0.7053321816936602
72,3,2,22.3,3.967,0.8226384849685341
72,3,3,10.05,2.5,1.0402495685296105
72,3,5,28.16,3.033,1.133346695986547
48,3,1,15.69,2.833,0.7871257046008043
48,3,2,22.4,4.1,0.8081270111469002
48,3,3,10.19,2.7,0.9214617990763956
48,3,5,26.36,2.967,1.051831795117657
96,3,1,11.8,3.167,0.6678337508499591
96,3,2,23.65,4.1,0.8598121474307833
96,3,3,12.09,2.7,0.9538694321529767
96,3,5,28.28,3.1,1.1069402778253972
108,3,1,10.63,3.033,0.5440916923841176
108,3,2,23.75,3.833,0.8796755869506715
108,3,3,11.12,2.7,1.0001635411050396
108,3,5,27.48,3.233,1.1103933827068282
0,4,1,13.76,2.633,0.8778741149209568
0,4,2,20.77,3.633,0.6306810009445246
0,4,3,12.78,2.7,0.7381743486556358
0,4,5,23.59,3.367,0.8595436260249115
168,3,1,16.03,3.433,0.667314377697467
168,3,2,17.43,3.1,0.9937978941673584
168,3,3,11.13,3.1,0.9838277411850042
168,3,5,24.67,3.5,0.9275161224538101
156,3,1,16.71,3.233,0.61460588084965
156,3,2,21.55,3.5,1.1154075555214285
156,3,3,11.17,2.9,1.0377245943677986
156,3,5,24.87,3.5,0.9563198801360698
12,4,1,13.78,2.567,0.881234911096944
12,4,2,22.15,3.3,0.7530689824255123
12,4,3,11.76,2.567,0.7301966545073553
12,4,5,21.16,3.367,0.7939064075466588
180,3,1,15.22,3.3,0.6989841102475126
180,3,2,16.74,3.167,0.8574411937704682
180,3,3,11.2,2.967,0.9418831164820615
180,3,5,25.89,3.5,0.889748502373791
144,3,1,15.29,3.033,0.5747332316132419
144,3,2,21.23,3.5,0.8983770325628007
144,3,3,10.8,2.9,1.0179183731436494
144,3,5,25.99,3.567,0.9580746632271109
120,3,1,11.22,3.1,0.6068297109130544
120,3,2,24.08,3.633,0.8378281778498969
120,3,3,10.94,2.9,1.0039781329879158
120,3,5,26.39,3.367,1.0195747390604184
132,3,1,13.78,2.967,0.4949628628361043
132,3,2,22.32,3.633,0.8898813795329474
132,3,3,10.41,3.033,1.0121244328929442
132,3,5,25.98,3.567,0.963110439864166
24,4,1,13.91,2.5,0.8379884675563932
24,4,2,22.65,3.167,0.8117300289741776
24,4,3,10.51,2.767,0.7710384059977289
24,4,5,24.51,3.833,0.7544794599534976
84,4,1,13.81,2.833,0.670838240117821
84,4,2,21.42,3.433,0.857001201886216
84,4,3,9.15,2.9,0.7445980706004145
84,4,5,22.83,3.567,0.8946466792663951
96,4,1,9.52,3.3,0.5307719695327889
96,4,2,20.26,3.233,0.8099205577262106
96,4,3,8.97,2.833,0.8395856175109083
96,4,5,22.73,3.433,0.9247175901064607
72,4,1,15.01,2.833,0.6604379499275236
72,4,2,20.85,3.3,0.8756130808063497
72,4,3,7.6,3.1,0.7110516003746796
72,4,5,23.72,3.7,0.8045669281482838
36,4,1,15.0,2.5,0.8086272689276561
36,4,2,25.16,3.3,0.7538314700881489
36,4,3,8.23,2.567,0.7808243421524056
36,4,5,21.68,3.767,0.747617515319268
108,4,1,7.68,3.367,0.39721553550897143
108,4,2,22.08,3.1,0.8105594520160111
108,4,3,9.29,2.833,0.8561042902927422
108,4,5,22.97,3.3,0.9683239949121766
60,4,1,14.77,2.633,0.7394832753542381
60,4,2,21.74,3.367,0.803803623832089
60,4,3,6.63,2.967,0.840224226213779
60,4,5,22.29,3.7,0.802525056536486
48,4,1,15.02,2.567,0.7709345629828167
48,4,2,24.03,3.3,0.7689700579308644
48,4,3,6.69,2.833,0.7866929079395488
48,4,5,22.84,3.9,0.6846698670363022
132,4,1,12.32,2.9,0.6032657783886937
132,4,2,22.13,3.233,0.8047319456291325
132,4,3,10.4,2.833,0.8876935944763075
132,4,5,25.24,3.1,0.9762050040997452
144,4,1,13.32,2.833,0.652329607552305
144,4,2,19.4,3.233,0.729230645473763
144,4,3,10.82,2.767,0.9074654754950072
144,4,5,26.43,3.1,1.0322740790291591
120,4,1,9.34,3.033,0.5789909798732849
120,4,2,21.73,3.033,0.80735426918426
120,4,3,9.89,2.767,0.9020512316920695
120,4,5,24.15,3.233,1.0022810937716071
0,5,1,14.09,3.233,0.6130776898733213
0,5,2,18.11,2.833,1.0153487461070254
0,5,3,11.7,2.967,0.8769531350692789
0,5,5,26.49,3.7,0.7508076841593845
36,5,1,12.63,2.9,0.6691194963345043
36,5,2,20.16,3.1,1.0443993683229411
36,5,3,10.82,3.167,0.9430086246842082
36,5,5,24.95,3.7,0.897271692226489
24,5,1,13.1,2.967,0.672987536355871
24,5,2,20.38,2.9,1.0842879965297019
24,5,3,12.51,2.967,0.9068532183531424
24,5,5,24.14,3.767,0.8675444446226659
156,4,1,13.44,2.767,0.7906229315903716
156,4,2,18.15,3.233,0.6049344695330511
156,4,3,11.59,2.9,0.9091250965209778
156,4,5,25.34,3.167,1.002104196610503
12,5,1,14.3,3.1,0.6762846086984207
12,5,2,20.79,2.767,1.0850037255942921
12,5,3,11.82,2.833,0.9181017346202295
12,5,5,26.58,3.7,0.8062059139219416
72,5,1,11.36,3.1,0.7326717941418722
72,5,2,21.59,2.9,1.0152386439492231
72,5,3,9.73,3.033,0.7495090605861032
72,5,5,25.38,3.367,1.0144885051627335
48,5,1,12.45,2.967,0.6849849643449062
48,5,2,20.41,2.967,0.9910342359320525
48,5,3,9.51,3.5,0.788569809120027
48,5,5,22.23,3.7,0.9503985795128871
168,4,1,14.7,2.767,0.8042387669904109
168,4,2,16.22,3.3,0.5271287428520663
168,4,3,12.2,2.9,0.8593562927208999
168,4,5,24.7,2.967,1.0026711529912338
60,5,1,11.34,2.967,0.7145891582502196
60,5,2,20.83,2.967,1.0401669914207634
60,5,3,9.27,2.967,0.7105325193099453
60,5,5,23.18,3.433,1.0411704279054481
180,4,1,14.2,2.7,0.7906808289522542
180,4,2,21.47,3.3,0.5846976572663193
180,4,3,12.34,2.9,0.8749083613985322
180,4,5,23.79,2.967,1.0152302078209223
84,5,1,10.62,3.167,0.6628883652753953
84,5,2,21.69,2.833,1.0474564116437117
84,5,3,11.66,3.3,0.7027220088392844
84,5,5,25.32,3.367,1.0319949265503612
132,5,1,11.56,3.1,0.6342681080646568
132,5,2,21.85,2.833,1.0932173837833359
132,5,3,13.74,3.233,0.8852240650042533
132,5,5,23.94,3.767,0.9872205585337324
96,5,1,8.76,3.367,0.7129298125400404
96,5,2,22.1,2.967,1.069866960206905
96,5,3,11.81,3.367,0.6916847465134188
96,5,5,26.3,3.433,1.0110220155852851
108,5,1,8.09,3.167,0.5854424271801164
108,5,2,22.09,2.833,1.0624206769299425
108,5,3,13.34,3.033,0.6891548520653139
108,5,5,25.35,3.5,1.026279651079635
0,6,1,14.05,2.9,0.771945086701197
0,6,2,18.28,2.7,1.0363670890436052
0,6,3,13.69,3.167,0.6521284650842452
0,6,5,26.2,3.3,0.920045860391488
180,5,1,15.33,2.9,0.7266375670483493
180,5,2,17.51,2.967,0.9583459059939601
180,5,3,11.46,3.233,0.8638178527064847
180,5,5,24.89,3.833,0.7522360743469151
156,5,1,12.95,2.9,0.6201378063130595
156,5,2,18.05,2.9,0.9180259175423875
156,5,3,12.45,3.033,0.9170809463434069
156,5,5,25.32,3.833,0.8212553254518329
144,5,1,14.12,3.1,0.5797921108416839
144,5,2,21.0,2.767,1.0297273365736326
144,5,3,13.13,3.1,0.907661193502948
144,5,5,23.94,4.033,0.9339689475467928
168,5,1,14.05,2.7,0.6698882399043492
168,5,2,15.28,3.033,0.9088427381211382
168,5,3,11.36,2.9,0.8911529437475648
168,5,5,25.88,3.9,0.846972054649823
120,5,1,8.54,3.167,0.5741346373617948
120,5,2,22.73,2.967,1.1238670640160673
120,5,3,14.71,3.233,0.7836883886604026
120,5,5,26.15,3.567,1.0034643845341518
12,6,1,14.11,2.9,0.7430364680452305
12,6,2,21.66,2.7,1.0755653664544471
12,6,3,11.7,2.833,0.6287483258208303
12,6,5,26.86,3.1,0.9543988923266349
24,6,1,13.92,2.967,0.7933916841573444
24,6,2,20.76,2.767,1.1232932406334881
24,6,3,11.42,2.967,0.5083944654694758
24,6,5,25.98,3.233,0.9429395495350084
36,6,1,14.07,2.767,0.786918590444813
36,6,2,22.04,2.767,1.11927250929316
36,6,3,10.27,3.033,0.5114597865064398
36,6,5,24.02,3.233,0.8907836388091973
108,6,1,11.64,3.1,0.6022474052880549
108,6,2,27.39,2.767,0.9603716194085506
108,6,3,13.99,3.5,0.5660395634484874
108,6,5,24.43,3.1,1.211327199814656
120,6,1,10.13,3.367,0.5694705833351353
120,6,2,25.37,2.767,0.9394809457313874
120,6,3,12.7,3.1,0.6098272151246049
120,6,5,22.82,3.1,1.1215275464856038
48,6,1,14.03,2.833,0.7761570774656256
48,6,2,22.47,2.767,1.0991913046185255
48,6,3,8.71,2.767,0.47802721128253783
48,6,5,24.16,3.233,0.919377729809944
72,6,1,12.8,2.9,0.6858083314996792
72,6,2,24.82,2.833,1.0929357382635532
72,6,3,8.9,3.167,0.5952442307312252
72,6,5,25.75,3.167,1.0668192126398095
96,6,1,13.26,3.167,0.6037231256251203
96,6,2,26.04,2.9,1.0192724748480446
96,6,3,15.23,3.5,0.5409772643072772
96,6,5,24.2,2.967,1.169510312827253
84,6,1,13.99,2.9,0.6343428999045443
84,6,2,25.33,2.9,1.0784064309913906
84,6,3,10.39,3.233,0.4860748355027293
84,6,5,24.93,3.033,1.095624359278391
60,6,1,13.92,2.9,0.6894513611808676
60,6,2,23.59,2.7,1.11551945436841
60,6,3,7.84,2.9,0.5536623189335568
60,6,5,26.17,3.3,0.940653835510087
132,6,1,13.77,3.367,0.6005867989987923
132,6,2,26.59,2.633,0.8521189630929284
132,6,3,11.62,3.233,0.5959166776659883
132,6,5,23.17,3.233,1.0747281848205017
156,6,1,14.72,3.433,0.6408074355825845
156,6,2,32.61,2.567,0.6212478738848337
156,6,3,12.26,3.367,0.6395643614705688
156,6,5,23.76,3.3,1.074642106483633
144,6,1,14.9,3.3,0.5884805795777966
144,6,2,27.86,2.633,0.6720021789011738
144,6,3,11.63,3.5,0.6031451966968566
144,6,5,24.12,3.3,1.0613001281144898
0,7,1,14.84,3.1,0.6674887014476795
0,7,2,17.52,3.1,0.7154672357233216
0,7,3,10.51,2.967,1.0659835857146345
0,7,5,22.45,3.5,0.9170914500916574
168,6,1,14.29,3.233,0.6476717387274049
168,6,2,20.31,3.1,0.6115391636587445
168,6,3,12.48,3.233,0.6428678642265397
