set_id,cx,cy,cz,nx,ny,nz,radius,adoption,radius_status,arc_deg,n_traces,n_faces,residual_m
1,0.0,4.50011682510376,-0.06242360174655914,0.011535101345918997,0.9930283234169971,0.11731023113338122,0.5,deterministic_disc,shrinkage,0.0,1,1,2.1684169041653092e-08
1,0.0,1.747638761997223,-3.7126787900924683,0.43124720089398216,-0.8506507205527079,0.30069786055817627,0.5,deterministic_disc,shrinkage,0.0,1,1,2.7938856325353193e-08
1,0.0,0.10983014851808548,-3.591177463531494,0.4436091675199732,-0.8883617309134898,-0.11842441277297931,0.5,deterministic_disc,shrinkage,0.0,1,1,6.940150537742846e-10
1,0.0,-0.5088850036263466,0.23938825726509094,0.17791108770408695,-0.9297528323193563,0.3223465769417807,1.2354572918204418,deterministic_disc,shrinkage,8.5,2,1,0.09270700674987474
1,0.0,3.5189064741134644,1.7904417514801025,0.14100512632421688,-0.9898202257978593,-0.019325500039239895,1.0792571270909355,deterministic_disc,shrinkage,0.0,1,1,1.4289774466146442e-08
1,0.0,3.483786702156067,-1.0694905370473862,0.13374850230829463,-0.9859370049901983,-0.10019760636485175,0.8198405147168857,deterministic_disc,shrinkage,0.0,1,1,7.292816804560794e-08
1,0.0,0.9983570277690887,3.6285282373428345,0.49706408410457525,-0.8478564028917391,-0.18457198153772078,0.5,deterministic_disc,shrinkage,0.0,1,1,1.4044868395758276e-08
1,1.1278458912649443,-3.967567456774455,0.954693454819379,0.11998339218021618,-0.9431174590640823,0.31005393725840313,1.7382928337411052,deterministic_disc,determined,204.9,2,2,1.812955760212414e-08
1,0.0,-3.6855878829956055,-1.8351375460624695,0.3854508902908629,-0.8516514691639949,0.35513009763295245,0.5,deterministic_disc,shrinkage,0.0,1,1,3.4071939099185e-08
1,0.0,-0.17551162838935852,3.208350658416748,0.05255950627566332,-0.9946090007125894,-0.08938922754763486,0.5301868567276873,deterministic_disc,shrinkage,0.0,1,1,4.615708713904193e-09
1,0.6791114050489906,-5.378821023727929,-2.3044958180582844,0.5080312391506001,-0.6973481035437442,0.5055787599682655,1.1237072682927747,deterministic_disc,determined,166.6,2,2,2.4628904753697564e-08
1,0.75,4.361525356769562,-3.4167640209198,0.28973206900940757,-0.8001905658429747,0.5251194021586215,1.1236633278042667,deterministic_disc,shrinkage,0.0,2,2,6.865772795512103e-09
1,0.0,1.9661317467689514,0.46238475292921066,0.6294969918868336,-0.765190184423249,-0.13497228925872917,0.6729673748267501,deterministic_disc,shrinkage,0.0,1,1,1.0237962812769111e-08
2,0.0,0.04057112103328109,-3.9303089380264282,0.8324903109475126,-0.5027334009342489,-0.23284975792041862,0.5,deterministic_disc,shrinkage,0.0,1,1,9.222323665284765e-09
2,0.0,2.244517683982849,-3.2439850568771362,0.8538748671593142,-0.441669794505169,0.27536431115056564,1.0583761356760246,deterministic_disc,shrinkage,0.0,1,1,2.332523520944645e-08
2,0.0,-4.1270235776901245,-2.4654263257980347,0.90668641350863,-0.2645421924713422,0.32853793686774263,1.4092562732922354,deterministic_disc,shrinkage,67.4,2,1,0.0642562631333181
2,0.0,-4.260320544242859,0.7008430659770966,0.848962606948838,-0.3596797295722717,0.38716015308583923,0.5524382755011784,deterministic_disc,shrinkage,0.0,1,1,1.823813905086214e-08
2,0.0,-0.2601383924484253,-1.6463715434074402,0.9863556841178986,0.04509283701771959,-0.1583322470566418,1.2051537085518949,deterministic_disc,shrinkage,0.0,1,1,5.814896442210897e-12
2,0.0,-3.604704976081848,0.6020907685160637,0.826668276084555,-0.2247109599134879,-0.5158726061831052,1.3113269239078154,deterministic_disc,shrinkage,0.0,1,1,8.307437594729366e-09
2,0.0,2.781788468360901,-1.8077077865600586,0.9857367824060529,0.16739579951775882,-0.017367847177247823,0.5,deterministic_disc,shrinkage,0.0,1,1,1.3541850240321263e-08
2,0.0,-4.7459611892700195,-3.7488315105438232,0.7840524845329812,-0.6035066195760511,0.14505675311941482,0.5,deterministic_disc,shrinkage,0.0,1,1,1.0004789798944212e-08
2,0.0,1.858435332775116,2.978076457977295,0.912857368942089,-0.36469063772239896,0.18355425008905885,0.7195387476355456,deterministic_disc,shrinkage,0.0,1,1,9.919881963487077e-09
3,0.0,-1.6981318593025208,3.472226142883301,0.4199807036770348,0.8933880305576215,0.15960587519047417,0.5,deterministic_disc,shrinkage,0.0,1,1,1.8412151717937488e-09
3,0.75,-3.591271996498108,-3.006863832473755,0.3198039810736429,0.9323817305126139,-0.16849249922697673,1.4161258332202524,deterministic_disc,shrinkage,101.8,2,2,3.3797258886001015e-11
3,0.0,1.8072162866592407,-3.0850605964660645,0.5085377589177837,0.8501031224922992,0.13679922837399758,1.083509423646181,deterministic_disc,shrinkage,0.0,1,1,3.387970722196929e-08
3,0.0,1.6268343329429626,3.376818895339966,0.6991555092922155,0.6074411271441545,-0.3770899771674949,0.5,deterministic_disc,shrinkage,0.0,1,1,2.6603476744595744e-08
3,0.75,-1.7089668214321136,-3.5120381712913513,0.07201786266031053,0.9606535612555335,-0.2682501867751477,0.6050483142825653,deterministic_disc,shrinkage,0.0,2,2,1.8923743841112788e-08
3,0.3152310151003237,4.442204495702903,-2.8243827710061717,0.16574500684129606,-0.9859320259952997,0.021601685674561718,1.3760949157179188,deterministic_disc,determined,132.6,2,2,6.256980746351365e-08
3,0.0,1.1600092053413391,-3.265848994255066,0.4699498427818144,0.8765171790201145,-0.10423425613476875,0.8644174207437944,deterministic_disc,shrinkage,0.0,1,1,2.9614649483593322e-08
3,0.0,2.8765032291412354,-0.9408796243369579,0.6681049007256226,0.7163068799218987,-0.2013462078186741,1.0204937383866974,deterministic_disc,shrinkage,0.0,1,1,5.827170803953433e-09
3,0.75,-0.11358074098825455,3.1702612936496735,0.5036557272300517,0.7827497094715855,-0.36555957209532375,1.3231062006086605,deterministic_disc,shrinkage,0.0,2,2,1.1531231042842074e-08
3,0.6985228694642354,-1.4494549347166399,-0.973270759383974,0.16638985400175463,0.9743513471116046,-0.15150534270142443,0.9303219936130726,deterministic_disc,determined,249.5,2,2,9.578720438725001e-09
3,0.0,4.417912244796753,-3.033476710319519,0.3785884654549657,0.6549234349062499,0.6540229875432921,1.1695524722429644,deterministic_disc,shrinkage,0.0,1,1,1.2322944720980922e-07
3,0.0,3.445931315422058,-2.767936110496521,0.5171185297298201,0.8547531037176277,0.04455959936031294,0.6476974739138821,deterministic_disc,shrinkage,0.0,1,1,1.2090957942520427e-08
3,0.30781709421670694,-1.8576114074763956,-1.391225083090392,0.3185197961336642,-0.9467789270851567,-0.04641985241735107,1.3065337810096842,deterministic_disc,determined,208.8,2,2,1.0836246363392064e-08
3,0.0,-0.29605283588171005,-2.5247877836227417,0.5284503628435334,0.833192814294292,0.16288016521017937,0.9856058999678208,deterministic_disc,shrinkage,0.0,1,1,4.6109515445660696e-09
3,0.0,2.1579612493515015,-3.3055102825164795,0.776227108135524,0.6277344754554532,0.05848850246183887,0.815514381548539,deterministic_disc,shrinkage,0.0,1,1,9.4626529965819e-11
3,2.6163429961624702,0.7142354209548195,-0.06796080485258715,0.6499071199282321,0.7065362200548508,0.2800487550716729,3.7798059314878056,deterministic_disc,determined,261.9,4,4,3.161630616108157e-08
3,0.0,-3.471585988998413,0.1266953945159912,0.6302100974504807,0.6801208212845535,0.3745275711168408,1.2006481596882759,deterministic_disc,shrinkage,0.0,1,1,4.453468651355992e-09
3,0.0,-5.137483596801758,0.13640132546424866,0.6808416855467491,0.7125760329463743,-0.16938121646826526,0.8006032023291703,deterministic_disc,shrinkage,0.0,1,1,2.3565251576411562e-08
3,0.0,-4.074075222015381,-1.0247635766863823,0.5627420616939994,0.8193432794003505,-0.10953521124216756,1.2939549186683525,deterministic_disc,shrinkage,0.0,1,1,2.900352532595569e-08
3,0.75,0.49883032962679863,2.814222902059555,0.0495371842916609,-0.9766274720868885,-0.20915269096434777,1.3729524028334088,deterministic_disc,shrinkage,0.0,2,2,4.056523402322716e-09
3,0.0,3.4542298316955566,-3.1869670152664185,0.7685900662545829,0.5015414184884059,-0.3971467179713484,0.6323581667523598,deterministic_disc,shrinkage,0.0,1,1,3.940793156181299e-08
3,-0.06018910135206057,3.6782792178453447,-1.2153222655523195,0.3524893301562505,0.8074402100886451,0.4730661468103617,2.454091569074422,deterministic_disc,determined,177.0,2,2,1.0611978657882795e-08
3,0.0,-0.4445120841264725,-3.4466954469680786,0.5404353655536764,0.8095781083806814,0.22915693768599238,0.6723405880211528,deterministic_disc,shrinkage,0.0,1,1,2.450863474159355e-09
