trace_id,face_id,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,set_id,x_face,x_face_nominal,dx,parent_fracture_id,normal_x,normal_y,normal_z,confidence
166,3,12.0,-3.571223497390747,4.835239410400391,12.0,-3.4668729305267334,5.162203788757324,1,12.0,12.0,0.0,236067,-0.3976301848888397,0.8741082549095154,-0.27897125482559204,1.0
167,3,12.0,-1.3625579716760525,2.220446049250313e-16,12.0,-1.1976094245910645,0.3256094455718994,1,12.0,12.0,0.0,246678,-0.3112524747848511,0.8477541208267212,-0.42945876717567444,1.0
168,3,12.0,-4.311377048492432,1.599974274635315,12.0,-4.465301036834717,4.216965675354004,1,12.0,12.0,0.0,249024,-0.484591007232666,0.8732317090034485,0.05136100947856903,1.0
169,3,12.0,3.3851540481935847,0.0,12.0,3.441926956176758,0.36411452293395996,1,12.0,12.0,0.0,286595,-0.09342962503433228,0.9837397336959839,-0.1533852219581604,1.0
170,3,12.0,0.34293824434280396,2.8756802082061768,12.0,1.7566983699798584,7.338982582092285,1,12.0,12.0,0.0,352933,-0.30662801861763,0.9073969125747681,-0.2874198257923126,1.0
171,3,12.0,1.2417128086090088,6.082572937011719,12.0,2.6974036175118683,7.243917518788107,1,12.0,12.0,0.0,440500,-0.04571545869112015,0.6229919195175171,-0.7808912396430969,1.0
172,3,12.0,-4.808463096618652,0.7459404468536377,12.0,-5.207331657409668,3.3291380405426025,1,12.0,12.0,0.0,496283,-0.42972901463508606,0.8923824429512024,0.13779161870479584,1.0
173,3,12.0,3.6407470703125,2.6743786334991455,12.0,1.9211277961730957,4.591429710388184,1,12.0,12.0,0.0,637672,-0.3975476920604706,0.6830466985702515,0.6127014756202698,1.0
174,3,12.0,-1.2845409890106954,0.0,12.0,-1.2466188669204712,0.9192404747009277,1,12.0,12.0,0.0,733663,-0.3952096104621887,0.917810320854187,-0.03786313906311989,1.0
175,3,12.0,4.838111400604248,5.066384792327881,12.0,4.847821645863921,5.078793884502334,1,12.0,12.0,0.0,735573,-0.35254234075546265,0.7369791269302368,-0.5766937136650085,1.0
176,3,12.0,-3.599944591522217,2.364441394805908,12.0,-3.2842532654079233,0.0,2,12.0,12.0,0.0,955873,0.9191226363182068,-0.3905062675476074,-0.05213894695043564,1.0
177,3,12.0,1.5504893064498901,2.684495687484741,12.0,0.8184903860092163,1.8497788906097412,2,12.0,12.0,0.0,1210814,0.8414273858070374,-0.4062786102294922,0.3562830984592438,1.0
178,3,12.0,2.512570858001709,0.11838436126708984,12.0,2.4817618661913214,1.3877787807814457e-17,2,12.0,12.0,0.0,1397584,0.896101713180542,-0.42954108119010925,0.11178611218929291,1.0
179,3,12.0,0.5095083713531494,4.125311851501465,12.0,-1.1569881439208984,2.6346216201782227,2,12.0,12.0,0.0,1820624,0.9047025442123413,-0.28404301404953003,0.3175419867038727,1.0
180,3,12.0,0.7351226806640625,4.0111799240112305,12.0,-1.134659746586294,0.0,2,12.0,12.0,0.0,1918946,0.8057811260223389,-0.5367615818977356,0.25020748376846313,1.0
181,3,12.0,-3.9321675300598145,4.7387237548828125,12.0,-1.25797700881958,7.180253982543945,2,12.0,12.0,0.0,2198350,0.8340855240821838,0.37194058299064636,-0.4073837995529175,1.0
