trace_id,face_id,set_id,x_face_nominal,x_mid_rough,x_span,rough_offset_p0,rough_offset_p1,rough_offset_mid,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,length_yz,length_3d,length_ratio_3d_to_yz,theta_yz_deg,valid_length,valid_x_tolerance,confidence,parent_fracture_id,x_face,normal_x,normal_y,normal_z,rough_length_warning,censoring_class,is_p0_on_boundary,is_p1_on_boundary,distance_p0_to_boundary,distance_p1_to_boundary
26,1,2,0.06371843,0.06371842999999999,0.031132339999999994,-0.015566170000000004,0.01556616999999999,-1.3877787807814457e-17,0.04815226,3.4547627,0.010010507,0.0792846,3.1547627,0.36089295,0.46164758074276546,0.46269613289882133,1.002271326006667,130.53001908628582,True,True,1.0,1288528,0.06371843,0.8767954,-0.3239521,-0.35536572,False,1,True,False,0.010010507,0.36089295
27,1,2,-0.028445497,-0.028445497,0.008833166000000003,0.004416583000000002,-0.004416583000000002,0.0,-0.024028914,4.666332,5.35,-0.03286208,5.0793676,4.05,1.3640375386577013,1.3640661390449305,1.0000209674487825,107.62607732330194,True,True,1.0,1422774,-0.028445497,0.9559717,0.28144494,0.08310694,False,1,True,False,0.004380917215584393,0.19984853111868756
28,1,2,-0.059786607,-0.0597866065,0.034110246999999996,-0.017055123,0.017055123999999998,4.999999997368221e-10,-0.07684173,-4.472535,5.65,-0.042731483,-4.0413256,6.15,0.6602586967608677,0.6611392104532603,1.0013335889352344,49.22489812716255,True,True,1.0,1494524,-0.059786607,0.9085827,-0.34427878,0.23653671,False,2,True,True,0.003390062192602902,0.016028824572446882
29,1,2,0.0751124,0.0751124,0.002212339999999993,-0.0011061699999999897,0.0011061700000000035,0.0,0.07400623,-5.195237,0.788796,0.07621857,-5.2952375,0.8170432,0.10391344623334377,0.10393699416649313,1.0002266110306504,164.2265747103592,True,True,1.0,1518337,0.0751124,0.8529503,-0.10486244,-0.5113508,False,1,False,True,0.10119880605169486,0.015312305976800087
30,1,2,0.060919613,0.060919612500000005,0.108384625,-0.054192313,0.054192312000000006,-4.999999927979282e-10,0.0067273,0.20476267,0.040702276,0.115111925,1.5047626,0.7773382,1.4941995524451674,1.4981253383691664,1.002627350488477,29.53775796428049,True,True,1.0,1553051,0.060919613,0.9736125,-0.16982119,0.15244505,False,1,True,False,0.040702276,0.7773382
31,1,2,0.036908038,0.03690804,0.014209080000000002,-0.007104537999999997,0.007104542000000005,2.0000000058861822e-09,0.0298035,5.378957,1.1,0.04401258,4.7047625,1.8132046,0.981427035133743,0.9815298891250616,1.0001048004463262,133.38941415774133,True,True,1.0,1604485,0.036908038,0.9840401,-0.11940988,-0.1319332,False,1,True,False,0.02561881758815485,0.793671437952135
32,1,2,-0.0029648847,-0.0029648845,0.024875067,0.0124375337,-0.0124375333,2.0000000006820118e-10,0.009472649,-0.29523733,3.857276e-05,-0.015402418,-0.94523734,0.34514296,0.7359327762046586,0.7363530539425707,1.000571081695912,152.0348346977773,True,True,1.0,1778297,-0.0029648847,0.95265526,-0.17611638,-0.24785273,False,1,True,False,3.857276e-05,0.34514296
33,1,2,-0.0034074823,-0.0034074822000000004,0.0098466236,-0.0049233117,0.0049233118999999995,9.999999960041972e-11,-0.008330794,-3.3417597,0.05,0.0015158296,-3.5300243,0.9,0.8705995403244594,0.8706552220078164,1.0000639578598172,102.48870045903512,True,True,1.0,2134256,-0.0034074823,0.86598736,-0.48612073,-0.11727116,False,1,True,False,0.05,0.9
34,1,2,-0.0062426566,-0.0062426566,0.005702946800000001,0.0028514734000000003,-0.0028514734000000003,0.0,-0.0033911832,1.5069503,7.65,-0.00909413,1.4547627,7.724695,0.09112018776736516,0.09129847874397204,1.0019566572564804,124.94107406368316,True,True,1.0,2199389,-0.0062426566,0.9688295,-0.2402123,-0.060559485,False,1,False,True,0.0758219344532262,0.017840802777657493
35,1,2,-0.01148908,-0.011489078499999996,0.10886827099999999,0.054434137,-0.054434133999999995,1.5000000044146367e-09,0.042945057,-5.4818726,1.75,-0.065923214,-5.014361,3.7,2.005259857508388,2.0082129858571003,1.0014726911016818,76.51783631498212,True,True,1.0,2451116,-0.01148908,0.83035314,-0.52967554,0.17308229,False,1,True,False,0.014902265354469325,0.3440183685984513
36,1,3,-0.010094324,-0.010094324500000001,0.049296191,0.024648095000000002,-0.024648096,-5.000000014715456e-10,0.014553771,-2.2588441,0.1,-0.03474242,-2.0885005,1.35,1.2615533845465914,1.2625161608898592,1.0007631673419939,82.23982656964756,True,True,1.0,2477730,-0.010094324,-0.46874756,-0.8775719,0.100713864,False,0,False,False,0.1,1.35
37,1,3,0.05935861,0.05935861,0.04837071999999999,-0.024185359999999996,0.024185359999999996,0.0,0.03517325,1.2047744,3.55,0.08354397,0.29128897,5.4,2.0632391114028175,2.0638060367620805,1.000274774434107,116.2790501505513,True,True,1.0,2622032,0.05935861,-0.5091179,-0.7771697,-0.36987332,False,0,False,False,3.55,2.5246024339488264
38,1,3,-0.0139724165,-0.013972418,0.043782904,0.0218914505,-0.021891453499999998,-1.5000000009451897e-09,0.007919034,-0.42163888,0.05,-0.03586387,-0.6452373,1.5636337,1.5300598783061354,1.530686177465799,1.0004093298363963,98.40312813614469,True,True,1.0,2794432,-0.0139724165,-0.5394145,-0.8306717,-0.13790001,False,1,True,False,0.05,1.5636337
