type,x1,y1,z1,x2,y2,z2
Trace,-19.0,2.73128446271194,0.2214555758729384,-19.0,2.860756039420358,3.1631624685338795
Trace,-19.0,-1.6066454085622994,-1.6445882245846524,-19.0,-2.19973902965469,0.4835884665767982
Trace,-19.0,-0.17933779502945704,-4.0,-19.0,-0.924980979074332,-1.764894699346832
Trace,-19.0,-0.9993449696827359,-2.097896320827263,-19.0,-0.8042379503388577,-0.1479788709674773
Trace,-19.0,0.3825927630283873,-4.0,-19.0,0.9538882112438125,-1.3889585815233574
Trace,-19.0,1.7897572370477792,3.3385206399880594,-19.0,1.818092636321722,3.6421702301155907
Trace,-19.0,0.01934527577172825,-4.0,-19.0,1.4109008562516827,-0.9419158788482642
Trace,-19.0,-4.444959835644377,1.6986489286617892,-19.0,-2.731377199497403,-4.0
Trace,-19.0,-1.2630269334566837,1.0926518224721464,-19.0,-2.7507092080261835,-4.0
Trace,-19.0,-3.5083253338168063,-0.9727957286286606,-19.0,-1.9775059770360732,-2.4574883032148582
Trace,-19.0,1.9408294898827678,3.12947660160534,-19.0,-0.5153518805960892,-4.0
Trace,-19.0,2.79135424265502,-2.90322574113359,-19.0,3.4671227538440257,-2.6651529583119373
Trace,-19.0,-4.43102944618487,0.14983767384371816,-19.0,-4.542803996038368,-1.4217395534847108
Trace,-19.0,1.3978214704750356,3.3963599277796854,-19.0,1.62182181207761,2.712410560536779
Trace,-19.0,-2.4200109505072938,0.3609755151931079,-19.0,-2.6891637706158527,-0.007291701758609298
Trace,-19.0,3.935596752345258,2.285238109631207,-19.0,2.621240896214878,-0.8090105511686186
Trace,-19.0,1.3416249944156036,1.4609310163195746,-19.0,1.0894895030172185,-1.1642986926016041
Trace,-19.0,-4.02821904046869,2.1872104301951794,-19.0,-1.499709490440612,-4.0
Trace,-19.0,2.4710228565239483,3.0994245997030982,-19.0,0.4589527868878813,2.358847000849868
Trace,-19.0,4.572753460768436,-0.7436990130205656,-19.0,2.699267790492633,-0.7162257305476629
Trace,-19.0,0.9393595784882947,2.6539437119752844,-19.0,1.0528905164843265,0.41993607920416975
Trace,-19.0,0.6754372907386127,-1.6456214683640389,-19.0,0.7437563212845056,-4.0
Trace,-19.0,1.5235324251953932,3.7240879749743065,-19.0,1.3805365459985048,3.6366120957629366
Trace,-19.0,-5.39839696165239,-2.837082118163402,-19.0,-5.412552396204521,-2.8803063683314942
Trace,-19.0,-5.475544186878181,-2.308368069805087,-19.0,-5.075168635472698,-3.889593118790963
Trace,-19.0,-1.9784716769476154,-2.0564471363596297,-19.0,-2.178485500176603,-3.1067958731861003
Trace,-19.0,1.1323246759451375,3.832883580692049,-19.0,0.6516530949496585,2.5373378335459282
Trace,-19.0,-1.7005881787507202,0.3472029131844009,-19.0,-2.3390753682725394,-0.7876312605152388
Trace,-19.0,-2.0572147516308714,3.554807723857598,-19.0,-2.318285097162602,2.4518100493423955
Trace,-19.0,2.022165851396037,-1.5754793294443794,-19.0,2.5413203388663708,-2.173876876636176
Trace,-19.0,-4.5499102458272604,0.025512361849219567,-19.0,-5.5038296883132665,-0.9917810564823054
Trace,-19.0,2.684238715111417,0.07676965252015666,-19.0,2.9646176517656966,-4.0
Trace,-19.0,-2.2000445951336625,3.0735321882296187,-19.0,-2.407005273662505,1.183480293294769
Trace,-19.0,-4.078269243598648,1.4559714431840192,-19.0,-5.518642739674443,-2.0829083587471664
Trace,-19.0,-3.82566421192608,-1.7526559946773408,-19.0,-3.0047156262626107,-3.8209915102450913
Trace,-19.0,-0.9331216444614254,-3.6435746976638397,-19.0,-1.0546723927320658,-4.0
Trace,-19.0,4.450802156181026,1.6375317579999114,-19.0,3.730649965577657,0.0758137411799702
Trace,-19.0,-1.3395485292786011,-1.4794755411975984,-19.0,-2.6029376113765097,-3.6971316882748537
Trace,-19.0,-2.667687754244022,-1.140659243796641,-19.0,-2.004191049603909,-3.152021153476988
Trace,-19.0,-0.7973834222332425,-1.7705771164788873,-19.0,0.2540727623117726,-3.510176247534906
Trace,-19.0,-0.21962235082573128,3.9414545604261217,-19.0,-1.0392284803329948,2.181685800607248
Trace,-19.0,-5.317992348189508,-0.08320353208617251,-19.0,-3.4102928446465643,-2.774536680581347
Trace,-19.0,-2.8858774827198186,3.1447337928831924,-19.0,-0.9986431634174417,0.18437508353753707
Trace,-19.0,-4.531715220060545,1.5651644881502966,-19.0,-4.313433080826391,-1.466379150501715
Trace,-19.0,-1.2404675364237776,-3.607258058373106,-19.0,-1.3381715075836393,-4.0
Trace,-19.0,4.727968614386559,1.2632031203760217,-19.0,4.697993471665387,0.4973781079546782
Trace,-19.0,5.306189189008098,-0.031086996691668426,-19.0,4.592170729242532,-2.8950060010728875
Trace,-19.0,-2.371630213513636,-2.661051512330793,-19.0,-2.5724721961426176,-4.0
Trace,-19.0,5.427677800320427,-0.8373542417722235,-19.0,4.609594281213419,-3.4655109125503665
Trace,-19.0,2.7449883674235083,-3.108331252284913,-19.0,1.96225036552459,-4.0
Trace,-19.0,-4.230559725529212,-0.5267116130501917,-19.0,-4.643408156104279,-4.0
Trace,-19.0,-3.531040339174617,-2.9683640341483475,-19.0,-3.654180551543227,-4.0
Trace,-19.0,-3.0463541466117134,-1.75308834143875,-19.0,-2.7988031025173057,-3.7712590221380546
Trace,-19.0,-2.6456709855004283,-2.806650846765509,-19.0,-2.6784955835587607,-2.982169720767422
Trace,-19.0,-3.565185858488472,-0.7110217235056111,-19.0,-2.9021202825145656,-3.7838644323027375
Trace,-19.0,2.6560318656954194,0.7154044072214615,-19.0,1.4185725151171007,-1.691582803951182
Trace,-19.0,-0.025324430458726177,1.7779267361918523,-19.0,0.742349380151518,-0.8464233557525431
Trace,-19.0,-4.0098519461969095,-4.0,-19.0,0.7781020043195004,-2.200018960047771
Trace,-19.0,-0.3044435164614727,2.042120118505322,-19.0,4.0771634307993185,2.1354096692473514
Trace,-19.0,-5.419154420762642,-2.8474913467447878,-19.0,-2.724505328169432,-1.6666301965683146
Trace,-19.0,-5.18986982990707,-3.5464633974511552,-19.0,4.462966304224822,1.6709436352068203
Trace,-19.0,-5.5241042674939065,-1.425957744434023,-19.0,2.881784912363293,3.147736034863439
Trace,-19.0,-5.215415025637095,0.2418041670381805,-19.0,5.085567516804547,0.5499740908463006
Trace,-19.0,-2.485045568532601,-4.0,-19.0,3.4877219481182338,-0.7007139746189557
Trace,-19.0,0.9969949380594452,2.535771072008501,-19.0,2.7810375780285197,3.203302946646804
Trace,-19.0,-4.349903155213002,-4.0,-19.0,2.5124126845963746,-0.20303419377274512
Trace,-19.0,-3.55026154189842,-2.7669682835895357,-19.0,4.3235848357412445,-1.0208565722433862
Trace,-19.0,5.041687347270134,-3.6841153250274083,-19.0,5.447186064282523,-2.6320638674653853
Trace,-19.0,-3.126768864045852,2.968019856482944,-19.0,0.5137698927895542,2.7503826994003555
Trace,-19.0,0.7963496600843989,2.3729069751602068,-19.0,2.2198669591336033,3.4758201237488358
Trace,-19.0,-5.534218581324443,-1.6425540663956462,-19.0,-4.8825818006847745,-1.323617614966912
Trace,-19.0,5.26379814599169,-0.5836158464547163,-19.0,5.355946836725047,-0.25079056660302307
Trace,-19.0,0.2656738192752473,-4.0,-19.0,4.182958662611344,-1.7572212185131595
Trace,-19.0,-5.343017369697811,-3.088321065879004,-19.0,-4.3708891013911755,-2.7465910160225224
Trace,-19.0,-4.958902971773562,0.8505898172652618,-19.0,2.370198108103066,3.402815909044333
Trace,-19.0,-0.38418544282750666,2.3653495040921966,-19.0,1.6862049267292154,3.6788484484774244
Trace,-19.0,2.4955125691066558,-4.0,-19.0,2.5594856268233808,-3.9669481518158403
Trace,-19.0,3.277695190445476,0.4713392005388186,-19.0,4.484524114606635,1.6377741405773583
Trace,-19.0,-5.341252451178554,-3.093600836527308,-19.0,2.8788315940011238,3.1499025404077603
Trace,-19.0,-2.1918176693661215,-1.4807868665011572,-19.0,2.024613021892812,3.5706398630639504
Trace,-19.0,-4.890420485791134,1.0131207943871379,-19.0,-1.791868052054527,2.2306706882612897
