trace_id,fracture_id,set_id,face_id,face_x_m,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,observed_length_m,censoring_class,radius_m,nx,ny,nz
43,7231507,2,1,0.0000,0.000000,2.130741,3.519102,0.000000,1.586129,2.437051,1.211377,1,1.004546,0.912857,-0.364691,0.183554
44,7320447,3,1,0.0000,0.000000,-1.732734,3.665909,0.000000,-1.663530,3.278544,0.393498,1,1.112071,-0.419981,-0.893388,-0.159606
45,7361143,3,1,0.0000,0.000000,-3.082720,-1.616226,0.000000,-3.513496,-4.000000,2.422384,1,1.708175,-0.319804,-0.932382,0.168492
46,7416805,3,1,0.0000,0.000000,1.659984,-2.170121,0.000000,1.954449,-4.000000,1.853420,1,1.186499,-0.508538,-0.850103,-0.136799
47,7458524,3,1,0.0000,0.000000,1.795466,3.648463,0.000000,1.458202,3.105175,0.639459,1,0.865138,-0.699156,-0.607441,0.377090
48,7481028,3,1,0.0000,0.000000,-1.510642,-3.003156,0.000000,-1.788998,-4.000000,1.034978,1,1.078532,-0.072018,-0.960654,0.268250
49,7535565,3,1,0.0000,0.000000,4.418555,-1.485089,0.000000,4.363453,-4.000000,2.515514,1,1.376095,0.165745,-0.985932,0.021602
50,7586313,3,1,0.0000,0.000000,1.247313,-2.531698,0.000000,1.072705,-4.000000,1.478648,1,1.223956,-0.469950,-0.876517,0.104234
51,7610064,3,1,0.0000,0.000000,3.112688,-0.100630,0.000000,2.640318,-1.781130,1.745627,0,0.898210,-0.668105,-0.716307,0.201346
52,7776987,3,1,0.0000,0.000000,0.708467,3.897134,0.000000,-0.249231,1.846477,2.263268,1,1.566985,-0.503656,-0.782750,0.365560
53,7999682,3,1,0.0000,0.000000,-1.240327,-0.395490,0.000000,-1.425641,-1.587272,1.206104,0,0.930322,-0.166390,-0.974351,0.151505
54,8074336,3,1,0.0000,0.000000,3.711079,-2.325670,0.000000,5.124746,-3.741283,2.000603,1,2.835334,-0.378588,-0.654923,-0.654023
55,8164975,3,1,0.0000,0.000000,3.417091,-2.214721,0.000000,3.474771,-3.321151,1.107933,0,1.046360,-0.517119,-0.854753,-0.044560
56,8190119,3,1,0.0000,0.000000,-2.022894,-0.132273,0.000000,-1.898947,-2.660308,2.531072,0,1.306534,0.318520,-0.946779,-0.046420
57,8282191,3,1,0.0000,0.000000,-0.457784,-1.697473,0.000000,-0.134322,-3.352102,1.685949,0,0.953391,-0.528450,-0.833193,-0.162880
58,8355274,3,1,0.0000,0.000000,2.093253,-2.611020,0.000000,2.222670,-4.000000,1.394996,1,1.008457,-0.776227,-0.627734,-0.058489
59,8356373,3,1,0.0000,0.000000,2.218983,2.207433,0.000000,3.369241,-0.694559,3.121642,0,3.779806,-0.649907,-0.706536,-0.280049
60,8371848,3,1,0.0000,0.000000,-3.966935,1.026221,0.000000,-2.976237,-0.772831,2.053794,0,1.055088,-0.630210,-0.680121,-0.374528
61,8401566,3,1,0.0000,0.000000,-4.979130,0.802584,0.000000,-5.295837,-0.529781,1.369489,1,1.490345,-0.680842,-0.712576,0.169381
62,8427726,3,1,0.0000,0.000000,-3.927429,0.072179,0.000000,-4.220722,-2.121706,2.213402,0,1.106702,-0.562742,-0.819343,0.109535
63,8523310,3,1,0.0000,0.000000,0.219378,3.941477,0.000000,0.711184,1.645015,2.348533,1,1.494171,0.049537,-0.976627,-0.209153
64,8524592,3,1,0.0000,0.000000,3.789983,-2.762957,0.000000,3.118476,-3.610977,1.081694,0,1.070026,-0.768590,-0.501541,0.397147
65,8729640,3,1,0.0000,0.000000,2.418571,0.889928,0.000000,4.898865,-3.343494,4.906497,0,2.454092,-0.352489,-0.807440,-0.473066
66,8783933,3,1,0.0000,0.000000,-0.601129,-2.893391,0.000000,-0.287895,-4.000000,1.150086,1,0.936627,-0.540435,-0.809578,-0.229157
67,8786468,3,1,0.0000,0.000000,-1.387824,-0.132990,0.000000,-1.589048,-1.692525,1.572463,0,0.898588,-0.534960,-0.837931,0.108117
