trace_id,face_id,set_id,x_face_nominal,x_mid_rough,x_span,rough_offset_p0,rough_offset_p1,rough_offset_mid,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,length_yz,length_3d,length_ratio_3d_to_yz,theta_yz_deg,valid_length,valid_x_tolerance,confidence,parent_fracture_id,dx,x_face,normal_x,normal_y,normal_z,rough_length_warning,censoring_class,is_p0_on_boundary,is_p1_on_boundary,distance_p0_to_boundary,distance_p1_to_boundary
13,1,2,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-4.330698013305664,5.325139999389648,6.0,-4.935144084714008,4.906977711070033,0.7349930289558378,0.7349930289558378,1.0,34.675901403994345,True,True,1.0,1476386,0.0,6.0,0.9346061944961548,-0.2023608535528183,0.2925086915493011,False,1,False,True,0.29934757534590384,0.0
14,1,2,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-0.2169722318649292,0.6226709485054016,6.0,-2.122570037841797,0.4090015292167663,1.9175394699674357,1.9175394699674357,1.0,6.397695115108803,True,True,1.0,1744226,0.0,6.0,0.8323612809181213,-0.0617576465010643,0.5507819056510925,False,0,False,False,0.6226709485054016,0.4090015292167663
15,1,2,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-5.410873625503438,3.5066816195195645,6.0,-4.454777240753174,2.8094258308410645,1.1833367786806097,1.1833367786806097,1.0,143.89771867101422,True,True,1.0,1914182,0.0,6.0,0.8342793583869934,-0.3248664438724518,-0.4454658031463623,False,1,True,False,8.881784197001252e-16,1.0571832810053627
16,1,2,6.0,6.0,0.0,0.0,0.0,0.0,6.0,1.3574061393737793,6.568724632263184,6.0,2.1153926849365234,7.066176414489746,0.9066431927139393,0.9066431927139393,1.0,33.27610907941572,True,True,1.0,1993697,0.0,6.0,0.9545296430587769,0.1635684967041015,-0.2492357641458511,False,0,False,False,1.157630922895541,0.4141293289558902
17,1,2,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-3.164896692659791,6.9400500119808095,6.0,-0.0954172611236572,2.795379161834717,5.157518825624791,5.157518825624791,1.0,126.52307858208229,True,True,1.0,2022311,0.0,6.0,0.7458259463310242,-0.5353222489356995,-0.3964514136314392,False,1,True,False,9.930136612989092e-16,2.795379161834717
18,1,2,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.8619817495346069,3.420581340789795,6.0,2.07495641708374,1.5400487184524536,2.237791430806474,2.237791430806474,1.0,122.82268579559431,True,True,1.0,2065645,0.0,6.0,0.8027215600013733,-0.5011473298072815,-0.3232482969760895,False,0,False,False,3.420581340789795,1.5400487184524536
19,1,2,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-1.517511045483921,7.725762430538963,6.0,-1.5225465297698977,6.995602607727051,0.7301771859971506,0.7301771859971506,1.0,89.60487085898103,True,True,1.0,2104618,0.0,6.0,0.922343909740448,-0.3863607048988342,0.0026645050384104,False,1,True,False,9.155133597044475e-16,0.7021140575719454
20,1,2,6.0,6.0,0.0,0.0,0.0,0.0,6.0,3.6153624057769775,3.0932986736297607,6.0,4.051782131195068,2.890873670578003,0.4810800958203384,0.4810800958203384,1.0,155.11666740205888,True,True,1.0,2282507,0.0,6.0,0.9823436737060548,-0.0787203162908554,-0.1697175204753875,False,0,False,False,1.842471914271158,1.4559405420350913
21,1,2,6.0,6.0,0.0,0.0,0.0,0.0,6.0,4.908522852703377,4.970158470123665,6.0,3.284422147277392,0.0,5.228783636708178,5.228783636708178,1.0,71.90414004001909,True,True,1.0,2451116,0.0,6.0,0.8303531408309937,-0.5296755433082581,0.1730822920799255,False,2,True,True,0.0,1.3322676295501878e-15
22,1,3,6.0,6.0,0.0,0.0,0.0,0.0,6.0,-1.2382233142852783,0.1689472198486328,6.0,-1.1821015212639017,0.0,0.17802477003640957,0.17802477003640957,1.0,108.37573181819728,True,True,1.0,2631257,0.0,6.0,-0.8119320273399353,-0.5539862513542175,-0.1840261071920395,False,1,False,True,0.1689472198486328,4.440892098500626e-16
