trace_id,face_id,x_face,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,set_id,parent_fracture_id
150,2,3.1028447,3.108639,1.9151479,4.5,3.0970502,2.4780476,6.95,3,3404117
151,2,3.0186417,2.9808881,4.0489492,3.6,3.056395,3.7819703,5.0,3,3438878
152,2,3.1081927,3.1613913,2.9681969,0.05,3.0549939,3.8293629,6.35,3,3547316
153,2,3.0753477,3.02111,-0.5952373,2.7331836,3.1295853,-2.708644,5.25,3,3588423
154,2,3.0079331,2.9548457,-3.8780887,1.5,3.0610209,-4.144264,6.05,3,3648958
155,2,3.1026382,3.0637329,1.1755354,0.05,3.1415434,1.8846018,5.15,3,3682856
156,2,3.0421941,3.0531979,-0.045237325,7.336946,3.0311906,0.45476267,7.912878,3,3749578
157,2,2.9766023,2.8885841,-2.3651178,1.55,3.0646207,-3.075687,7.0,3,3802387
158,2,3.0680952,3.0380847,5.5047626,2.8959756,3.0981057,1.5547627,0.014991266,4,3878550
159,2,2.9555423,3.0195296,-0.74523735,7.8716793,2.8915548,-5.4039392,1.8,4,3884933
160,2,3.0954778,3.0913815,1.7047627,3.978395,3.099574,-0.3452373,3.7734435,4,3906031
161,2,3.0095427,3.0394049,5.464564,3.2,2.9796808,5.083268,1.7,4,3912768
162,2,3.1640837,3.1374974,1.9047626,6.238073,3.1906698,0.20476267,5.3462424,4,3914309
163,2,3.0622983,3.0516016,3.669147,6.55,3.0729947,3.4047627,6.440583,4,3930309
164,2,3.1033356,3.0903537,2.5547626,7.292409,3.1163175,1.5547627,7.016719,4,3933064
165,2,3.0652652,3.055887,0.054762673,7.323817,3.0746434,-3.9452374,5.9106793,4,3933153
166,2,2.9883401,3.0981913,2.2547626,7.407982,2.878489,-5.467846,3.15,4,3934136
167,2,3.066307,3.0070748,4.804763,5.074068,3.1255395,1.7047627,4.4938807,4,3935807
168,2,3.0628405,3.1614819,-1.4952374,5.628154,2.9641988,-4.9952374,4.7601304,4,3945818
169,2,3.0228395,3.0151675,4.72859,5.25,3.0305119,2.0178952,3.15,4,3949402
170,2,3.0193284,3.0907724,3.175372,6.15,2.9478846,0.054762673,0.019651607,4,3964077
171,2,2.9832635,3.0496616,-4.0452375,4.6660495,2.9168653,-5.2952375,3.8945525,4,3967207
172,2,3.0429583,2.9751887,5.304763,0.90163106,3.1107275,4.2047625,0.0017151837,4,3973543
173,2,3.0510972,3.133285,-1.9452373,4.7341456,2.9689095,-4.8952374,4.336364,4,3989338
174,2,3.056276,3.061983,1.0547627,7.8371854,3.050569,-2.3452373,7.408818,4,3992991
175,2,3.0078287,3.0937872,2.8547628,6.420262,2.9218705,-5.2452374,4.0718966,4,3995761
176,2,2.9726477,3.034394,4.4547625,5.6506724,2.9109013,-0.29523733,0.013683388,4,4000087
177,2,3.0041032,3.0313258,5.5047626,2.6698427,2.9768803,-3.5952373,0.0009677679,4,4002460
178,2,3.0425131,3.047505,4.2047625,5.954083,3.0375214,0.9498207,2.5,4,4003495
179,2,2.9614909,3.0692375,1.2175621,7.8,2.8537445,-1.5805174,0.2,4,4007496
180,2,2.9654026,3.0648382,3.0768912,7.0,2.865967,-0.804644,0.05,4,4018219
181,2,3.0964563,3.0517945,3.7547626,6.4540453,3.1411178,-0.29523733,6.053126,4,4022174
182,2,3.0056517,3.0414767,4.361223,5.75,2.9698267,-5.3452373,0.97438216,4,4029604
183,2,2.9573917,2.9778113,3.7047627,2.8018959,2.9369721,-0.045237325,0.014161543,4,4032961
184,2,3.122425,3.1115265,4.002797,0.2,3.1333237,3.8047626,0.03976738,4,4034215
185,2,2.9845328,2.9992387,-1.5452373,2.822855,2.9698267,-5.3452373,0.9972364,4,4037148
186,2,2.9828174,2.995598,5.1047626,4.5032,2.9700367,0.25476268,0.02257611,4,4038155
187,2,3.0486772,3.042293,-0.29523733,7.433313,3.055061,-2.3452373,7.395397,4,4068000
188,2,3.0290475,2.997955,5.1047626,4.4052787,3.06014,1.6547626,1.8377737,4,4073654
189,2,3.0324087,2.997263,5.0264487,4.6,3.0675545,2.0203834,1.65,4,4075733
190,2,3.0111914,3.0366757,5.5047626,2.8017294,2.985707,-3.9952374,0.0010789621,4,4078059
