trace_id,face_id,x_face,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,set_id,parent_fracture_id,normal_x,normal_y,normal_z
185,2,2.9845328,2.9992387,-1.5452373,2.822855,2.9698267,-5.3452373,0.9972364,4,4037148,-0.06380547,0.43265045,-0.8993011
186,2,2.9828174,2.995598,5.1047626,4.5032,2.9700367,0.25476268,0.02257611,4,4038155,0.35426465,0.6335505,-0.68783015
187,2,3.0486772,3.042293,-0.29523733,7.433313,3.055061,-2.3452373,7.395397,4,4068000,-0.14042372,0.017586663,-0.9899353
188,2,3.0290475,2.997955,5.1047626,4.4052787,3.06014,1.6547626,1.8377737,4,4073654,0.26463872,0.5787467,-0.7713745
189,2,3.0324087,2.997263,5.0264487,4.6,3.0675545,2.0203834,1.65,4,4075733,-0.016933672,0.7001151,-0.71382916
190,2,3.0111914,3.0366757,5.5047626,2.8017294,2.985707,-3.9952374,0.0010789621,4,4078059,0.53043395,0.23709075,-0.81389666
191,2,3.0204701,2.981414,5.4547625,1.760084,3.059526,2.4047627,1.7287933,4,4078466,-0.0037835897,0.010164472,-0.9999412
192,2,2.9289815,2.9174848,-0.99523735,1.851454,2.9404783,-2.7952373,0.0036623934,4,4080215,0.099248774,0.71338207,-0.6937116
193,2,3.1607926,3.1566486,2.88331,0.15,3.1649365,2.8047626,0.041500207,4,4110884,-0.17325246,0.7928829,-0.5842262
194,2,3.1099558,3.177646,1.3047627,5.708822,3.0422657,-4.0452375,4.526224,4,4113548,-0.15336624,0.2169366,-0.9640629
195,2,3.0452151,3.0057287,4.9047627,3.806267,3.0847015,-2.5952373,4.3548994,4,4114882,0.21282627,-0.06904318,-0.97464764
196,2,3.0855632,3.024379,5.3547626,3.733984,3.1467474,2.1547627,0.036197502,4,4114994,-0.078513384,0.7525545,-0.65383285
197,2,3.052035,3.0694005,2.9547627,7.0921297,3.0346696,-4.445237,5.671785,4,4127457,0.49205205,0.16221362,-0.85531956
198,2,3.0193217,3.0732033,-1.4452373,3.6388476,2.9654398,-5.3452373,1.0499032,4,4140642,-0.311821,0.53185946,-0.78733295
199,2,2.875712,2.853322,-1.3452374,0.001206416,2.8981016,-2.614633,1.3,5,4289339,-0.6604444,-0.54777104,-0.51357585
200,2,3.036054,3.0398762,4.1632876,0.9,3.0322316,2.0512862,2.55,5,4410729,-0.58330923,-0.49857688,-0.64122653
201,2,3.026996,3.083029,-3.2952373,4.7344933,2.9709628,-4.945237,4.833552,5,4445929,-0.5073463,-0.01861828,-0.86154115
202,2,3.006939,2.991702,0.545462,0.75,3.0221758,-0.5452373,2.703651,5,4449305,-0.7694735,-0.56205934,-0.3033148
203,2,3.0514045,3.0510216,4.349864,5.5,3.0517871,4.2462063,5.85,5,4470783,-0.8130637,-0.55877393,-0.16339876
204,2,3.0706823,3.0392132,4.054763,4.821714,3.1021514,2.8047626,5.8607144,5,4513795,-0.47254333,-0.5767122,-0.6664127
205,2,3.0568583,3.0958464,1.7858617,7.65,3.0178704,-0.29523733,7.9055085,5,4647831,-0.7455134,-0.05332123,-0.6643543
206,2,3.0863042,3.1306949,-1.8535047,6.35,3.0419135,-2.0454357,7.55,5,4850932,-0.86503386,-0.48168784,-0.14033264
207,2,2.9820645,2.9646578,-2.540285,2.8,2.9994712,-3.612779,3.7,5,4858320,-0.6851631,-0.48135802,-0.5466681
208,3,6.0485463,6.0211587,3.1299746,6.3,6.075934,3.2774665,4.4,1,87749,-0.15461336,0.98535097,0.0719592
209,3,6.0013328,5.9921136,1.4584893,7.7,6.010552,1.3547627,7.4261055,1,395597,-0.677879,0.6721229,-0.29787728
210,3,5.911876,5.949889,-4.9038544,2.15,5.873863,-4.9743495,0.4,1,438281,0.058663625,0.99736434,-0.042695686
211,3,5.999379,5.986814,1.6489264,7.65,6.0119443,1.9341929,6.85,1,465773,-0.37445033,0.87720984,0.30048272
212,3,6.0310597,6.025433,-2.1078281,7.5,6.0366864,-2.0733306,6.75,1,602883,-0.34253666,0.9387177,0.03843992
213,3,6.098273,6.0920925,1.4626712,3.1,6.104453,1.2722284,0.05,1,724122,-0.014986602,0.9979402,-0.06237592
214,3,6.0851827,6.1150274,-1.1952373,3.5048747,6.055338,1.4547627,4.707675,2,791567,0.92286193,-0.14163533,0.35814142
215,3,6.058438,6.0069613,-2.7452374,7.2194734,6.1099143,-1.853613,5.35,2,931180,0.99318165,0.0722689,0.09147377
216,3,6.013556,5.9810457,-2.6242557,3.25,6.0460668,-3.7260075,6.45,2,1317917,0.92306626,-0.3576062,-0.1416561
217,3,6.141849,6.158414,3.9833283,3.3,6.1252837,4.8577595,5.05,2,1373568,0.87922436,-0.41941607,0.22595277
