set_id,cx,cy,cz,nx,ny,nz,radius,adoption,radius_status,arc_deg,n_traces,n_faces,residual_m
3,0.0,1.6268343329429626,3.376818895339966,0.6991555092922155,0.6074411271441545,-0.3770899771674949,0.5,deterministic_disc,shrinkage,0.0,1,1,2.6603476744595744e-08
3,0.5,-1.6704144477844238,-3.4410932660102844,0.07201781439555538,0.960653559388747,-0.2682502064182219,0.7501127055644233,deterministic_disc,shrinkage,0.0,2,2,7.681589776848348e-09
3,0.5,4.474215388298035,-2.7810548543930054,0.16574514972861246,-0.9859320008075039,0.021601738938152378,1.4670810235288518,deterministic_disc,shrinkage,0.0,2,2,1.1294631921650509e-07
3,0.5,0.8712665885686874,-3.439620554447174,0.4699498244073114,0.8765171858755126,-0.10423428133013368,0.8623667592399599,deterministic_disc,shrinkage,0.0,2,2,1.7779766491377593e-08
3,0.0,2.8765032291412354,-0.9408796243369579,0.6681049007256226,0.7163068799218987,-0.2013462078186741,1.0180728170605935,deterministic_disc,shrinkage,0.0,1,1,5.827170803953433e-09
3,0.5,-0.034653590992093086,2.994821399450302,0.5036557204050212,0.7827497142136245,-0.36555957134479244,1.3199673934908758,deterministic_disc,shrinkage,0.0,2,2,4.219944532856986e-09
3,0.6985228463807271,-1.4494549034814663,-0.9732707519566354,0.1663898185515222,0.9743513556163251,-0.15150532693942204,0.9303219725151887,deterministic_disc,determined,218.4,2,2,1.5704774085451736e-08
3,0.5,4.484933137893677,-3.390020430088043,0.3785884007812932,0.6549235486474642,0.6540229110825367,1.166777939411605,deterministic_disc,shrinkage,0.0,2,2,2.3673733354422836e-08
3,0.0,3.445931315422058,-2.767936110496521,0.5171185297298201,0.8547531037176277,0.04455959936031294,0.646160937724206,deterministic_disc,shrinkage,0.0,1,1,1.2090957942520427e-08
3,0.30781705604599874,-1.857611420278438,-1.391225061726879,0.31851979913773726,-0.9467789268096644,-0.04641983742319775,1.3065337710872833,deterministic_disc,determined,208.8,2,2,1.6101274172030748e-08
3,0.37809819220634083,-0.5270334690123368,-2.5699420035389227,0.5284503699033206,0.8331928120416469,0.16288015382844054,0.95339152244078,deterministic_disc,determined,235.7,2,2,5.355506286832534e-09
3,0.4008606978824648,1.6744514047957564,-3.436187743322731,0.7762270953252366,0.6277344914587932,0.05848850071523867,1.00845667300383,deterministic_disc,determined,148.6,2,2,3.497369887935165e-09
3,2.6163429504637046,0.7142353996649387,-0.06796078457739867,0.6499071293720438,0.7065362127436599,0.2800487516009232,3.7798058906958287,deterministic_disc,determined,195.3,4,4,3.114971807023508e-08
3,0.0,-3.471585988998413,0.1266953945159912,0.6302100974504807,0.6801208212845535,0.3745275711168408,1.1977998587441037,deterministic_disc,shrinkage,0.0,1,1,4.453468651355992e-09
3,0.0,-5.137483596801758,0.13640132546424866,0.6808416855467491,0.7125760329463743,-0.16938121646826526,0.7987039274054416,deterministic_disc,shrinkage,0.0,1,1,2.3565251576411562e-08
3,0.0,-4.074075222015381,-1.0247635766863823,0.5627420616939994,0.8193432794003505,-0.10953521124216756,1.2908852668432182,deterministic_disc,shrinkage,0.0,1,1,2.900352532595569e-08
3,0.683907344830768,0.46624922329428586,2.9507048433818173,0.049537198461966823,-0.9766274707706049,-0.20915269375446993,1.4941709291087792,deterministic_disc,determined,145.4,3,3,1.1701648398685727e-08
